iter	Logloss
0	0.6820016415
1	0.6681766916
2	0.6543965035
3	0.6408369186
4	0.6292473002
5	0.6189279759
6	0.6074831942
7	0.5985727513
8	0.5887085935
9	0.5762299883
10	0.5681664081
11	0.5588229971
12	0.5510107811
13	0.5424410232
14	0.5355204318
15	0.5260392453
16	0.5174028924
17	0.5099059572
18	0.5035057068
19	0.496235259
20	0.4883558801
21	0.4799849328
22	0.4719648158
23	0.4652848751
24	0.4586588271
25	0.4533564791
26	0.4478072714
27	0.4433258949
28	0.4382657396
29	0.4326494095
30	0.427763878
31	0.4239581494
32	0.4189738416
33	0.4154123347
34	0.4107782486
35	0.4064934913
36	0.4024088028
37	0.3992916675
38	0.3952081153
39	0.3914970236
40	0.3884672205
41	0.3856355789
42	0.3810092845
43	0.3779159302
44	0.3736522756
45	0.3706010859
46	0.3682317531
47	0.364857207
48	0.3623622732
49	0.3588616391
50	0.3562728395
51	0.3539948159
52	0.3520472912
53	0.3495885971
54	0.346928698
55	0.3451394426
56	0.3430729318
57	0.3408910467
58	0.338630311
59	0.3371829581
60	0.3356940087
61	0.3329633348
62	0.3311466866
63	0.3288563262
64	0.3272469297
65	0.3256524674
66	0.3238979705
67	0.322045103
68	0.3197025948
69	0.3176412988
70	0.3165135485
71	0.3147137419
72	0.3131543829
73	0.3113614752
74	0.3100735076
75	0.3089498966
76	0.3081454419
77	0.306846436
78	0.3057278166
79	0.3047814471
80	0.3037853444
81	0.3026821461
82	0.3011592703
83	0.3004358576
84	0.2996439021
85	0.2989106077
86	0.2979724356
87	0.2972017451
88	0.2964594009
89	0.2957915448
90	0.295264102
91	0.2938829584
92	0.2922494969
93	0.2912047975
94	0.2903495545
95	0.2897024358
96	0.2891616415
97	0.2885351384
98	0.2879965762
99	0.2874641216
100	0.2870349681
101	0.2859429907
102	0.2853645162
103	0.2845804945
104	0.2838532874
105	0.2833792504
106	0.2825419649
107	0.2817583287
108	0.2806931557
109	0.2801769338
110	0.2794287255
111	0.2787589418
112	0.2778000324
113	0.2769971807
114	0.2765098734
115	0.2760656235
116	0.2757145496
117	0.2753331205
118	0.2750126859
119	0.2747253864
120	0.2741212033
121	0.2735055964
122	0.2729352586
123	0.2724525979
124	0.2721413551
125	0.2713407963
126	0.270994227
127	0.2705517221
128	0.2703963544
129	0.2699534842
130	0.2695999957
131	0.2693882191
132	0.269098079
133	0.2685456783
134	0.2679396487
135	0.2675371779
136	0.26741807
137	0.2669450882
138	0.2667266562
139	0.2665945013
140	0.2661029735
141	0.2658465568
142	0.2650566101
143	0.2646797058
144	0.2642087733
145	0.2638589372
146	0.2636964879
147	0.2632784336
148	0.2629416851
149	0.2627804939
150	0.2624280808
151	0.2620755662
152	0.261507643
153	0.2610537549
154	0.2609197333
155	0.2605530962
156	0.2600478517
157	0.2596470041
158	0.2592219089
159	0.2589432534
160	0.2585796194
161	0.2585283239
162	0.2581446222
163	0.2577917627
164	0.2577238083
165	0.2576586541
166	0.2574089943
167	0.2571550734
168	0.2569824787
169	0.2566217057
170	0.2562897865
171	0.2561694612
172	0.2559977998
173	0.2558765817
174	0.2556624311
175	0.2554745776
176	0.2551467368
177	0.2548033126
178	0.2547554057
179	0.2546215057
180	0.2543499318
181	0.2541793255
182	0.2541117161
183	0.2538720395
184	0.2536406821
185	0.2535982132
186	0.2534353581
187	0.2532669838
188	0.2532185494
189	0.253121376
190	0.2529084632
191	0.2525129521
192	0.2523179764
193	0.2519973187
194	0.2517444124
195	0.2515020573
196	0.2512327154
197	0.2510257477
198	0.2508641507
199	0.2508035619
200	0.2506077137
201	0.2503140429
202	0.2499475682
203	0.2497224808
204	0.2496131735
205	0.2493811465
206	0.2491665698
207	0.2490482533
208	0.248907353
209	0.2487138586
210	0.2485120246
211	0.2483393892
212	0.248102391
213	0.2479421332
214	0.2477881249
215	0.2475338591
216	0.2474089683
217	0.2472488728
218	0.2469476335
219	0.246907782
220	0.2467878626
221	0.2467789954
222	0.2466084501
223	0.2464756255
224	0.2463490506
225	0.2463301395
226	0.2461226037
227	0.2458462614
228	0.2457803767
229	0.2457611409
230	0.2457331799
231	0.2455571966
232	0.2454125425
233	0.2452974928
234	0.2450543262
235	0.2449454653
236	0.2447814536
237	0.2446767523
238	0.2444629466
239	0.2444053812
240	0.2441100668
241	0.2438731904
242	0.2437678804
243	0.243762341
244	0.2436137098
245	0.2434679397
246	0.2433158996
247	0.2431657669
248	0.2430378123
249	0.2429285455
250	0.2427299581
251	0.2425574242
252	0.2424155296
253	0.2422751569
254	0.2421479732
255	0.2419507453
256	0.2418732745
257	0.241845273
258	0.2415668812
259	0.2413905935
260	0.2413304309
261	0.241212784
262	0.241151343
263	0.2409464654
264	0.2407342424
265	0.2406360545
266	0.2405107579
267	0.2404770141
268	0.2403517581
269	0.2401908915
270	0.2401071508
271	0.2399759698
272	0.2399567746
273	0.239836916
274	0.2396592485
275	0.2395245572
276	0.2394790244
277	0.2393590237
278	0.2392043459
279	0.2391315825
280	0.2389350648
281	0.2388859404
282	0.2387177893
283	0.2385798109
284	0.2385399189
285	0.2384463371
286	0.2383270264
287	0.2382246586
288	0.2380358919
289	0.2379681202
290	0.237864332
291	0.2378334086
