iter	Passed	Remaining
0	1	1548
1	3	1900
2	5	1973
3	8	2060
4	10	2078
5	11	1983
6	14	2064
7	16	2012
8	18	2010
9	20	2011
10	21	1970
11	24	1980
12	25	1957
13	28	1985
14	29	1949
15	32	1992
16	34	1999
17	36	1976
18	38	1978
19	40	1988
20	42	1999
21	46	2053
22	48	2042
23	50	2047
24	52	2041
25	54	2030
26	56	2019
27	57	1994
28	59	1989
29	61	1986
30	63	1992
31	64	1961
32	66	1957
33	68	1938
34	70	1933
35	72	1933
36	74	1926
37	75	1920
38	77	1919
39	79	1917
40	81	1909
41	83	1906
42	85	1905
43	87	1906
44	90	1913
45	92	1923
46	94	1917
47	96	1908
48	98	1912
49	100	1918
50	103	1926
51	105	1922
52	108	1929
53	109	1926
54	112	1935
55	114	1931
56	116	1931
57	118	1930
58	121	1932
59	122	1923
60	124	1917
61	126	1917
62	128	1916
63	131	1915
64	133	1913
65	134	1909
66	137	1907
67	139	1908
68	141	1907
69	143	1910
70	145	1902
71	147	1901
72	149	1900
73	151	1901
74	154	1908
75	157	1910
76	158	1901
77	160	1900
78	163	1900
79	164	1889
80	166	1884
81	168	1883
82	170	1883
83	171	1875
84	173	1872
85	175	1864
86	177	1860
87	178	1849
88	179	1842
89	181	1838
90	183	1828
91	185	1827
92	187	1826
93	189	1824
94	191	1827
95	193	1826
96	195	1818
97	197	1813
98	199	1812
99	201	1814
100	203	1810
101	205	1810
102	207	1805
103	209	1802
104	211	1799
105	213	1797
106	215	1796
107	217	1798
108	219	1798
109	222	1796
110	223	1793
111	225	1790
112	227	1787
113	229	1783
114	231	1782
115	233	1778
116	236	1783
117	238	1781
118	240	1779
119	241	1771
120	243	1768
121	245	1764
122	247	1762
123	248	1758
124	250	1754
125	252	1751
126	254	1749
127	256	1747
128	257	1739
129	259	1737
130	261	1735
131	263	1735
132	266	1734
133	268	1732
134	269	1729
135	271	1726
136	272	1718
137	274	1715
138	276	1710
139	277	1706
140	280	1706
141	281	1703
142	283	1701
143	285	1700
144	288	1699
145	290	1696
146	291	1693
147	294	1694
148	296	1692
149	298	1690
150	300	1687
151	301	1681
152	303	1678
153	304	1674
154	306	1668
155	307	1664
156	309	1663
157	312	1664
158	314	1664
159	316	1663
160	318	1662
161	320	1657
162	322	1655
163	324	1653
164	326	1650
165	327	1645
166	329	1643
167	331	1640
168	333	1638
169	334	1635
170	336	1632
171	338	1629
172	340	1627
173	342	1626
174	344	1624
175	346	1624
176	349	1623
177	351	1621
178	352	1616
179	354	1613
180	356	1614
181	359	1613
182	360	1610
183	362	1609
184	364	1607
185	366	1601
186	368	1602
187	370	1599
188	372	1597
189	374	1596
190	376	1595
191	378	1593
192	380	1592
193	382	1590
194	384	1587
195	386	1585
196	389	1586
197	391	1584
198	393	1583
199	394	1579
200	396	1577
201	398	1575
202	400	1573
203	402	1572
204	405	1573
205	413	1592
206	415	1591
207	417	1589
208	419	1587
209	421	1586
210	424	1587
211	426	1586
212	428	1584
213	430	1582
214	432	1580
215	434	1578
216	437	1577
217	439	1576
218	441	1575
219	443	1571
220	445	1569
221	446	1565
222	448	1563
223	451	1562
224	453	1561
225	454	1557
226	457	1556
227	459	1554
228	461	1553
229	463	1551
230	464	1547
231	466	1545
232	468	1543
233	470	1541
234	472	1539
235	475	1538
236	477	1536
237	479	1535
238	481	1533
239	484	1534
240	486	1533
241	489	1531
242	491	1529
243	492	1524
244	493	1522
245	495	1519
246	497	1517
247	500	1516
248	502	1516
249	504	1513
250	506	1512
251	508	1510
252	510	1508
253	512	1506
254	515	1505
255	517	1503
256	519	1501
257	520	1498
258	522	1496
259	524	1494
260	526	1491
261	528	1489
262	530	1487
263	533	1486
264	535	1484
265	537	1482
266	539	1480
267	541	1477
268	542	1475
269	545	1474
270	547	1473
271	549	1471
272	551	1467
273	552	1465
274	554	1462
275	556	1460
276	558	1457
277	560	1455
278	562	1454
279	564	1452
280	567	1450
281	569	1449
282	571	1447
283	573	1445
284	575	1443
285	578	1444
286	580	1442
287	582	1440
288	584	1438
289	586	1436
290	588	1434
291	590	1431
292	592	1430
293	595	1428
294	597	1427
295	599	1425
296	601	1423
297	603	1421
298	605	1418
299	606	1416
300	609	1414
301	611	1412
302	613	1411
303	615	1409
304	617	1407
305	619	1405
306	621	1403
307	623	1401
308	625	1399
309	627	1397
310	629	1393
311	631	1391
312	633	1389
